Category,Icon,Subcategory,Social Keywords (Common Language),311 Signals,Bill Language,Congress.gov Mapping
,,Maternal Health,"pregnancy, maternal mortality, postpartum, OB-GYN, birth, birthing center, maternal death, Black maternal health, doula, midwife, C-section rates",—,"maternal health, perinatal care, midwifery, birth equity",
Public Safety & Justice,◈,Policing & Reform,"police, cops, body cameras, defund, reform, accountability, excessive force, police brutality, blue lives, back the blue, CMPD, officer-involved","police complaints, use of force","police oversight, use of force policy, body-worn camera",Crime and Law Enforcement
,,Gun Violence,"gun violence, shooting, mass shooting, gun control, second amendment, shots fired, gun laws, open carry, ghost guns, red flag",shots fired reports,"firearm regulation, gun violence prevention, concealed carry",
,,Immigration Enforcement,"ICE, deportation, detention center, DMV data, undocumented, DACA, migrants, immigration raids, sanctuary city, border, asylum",—,"immigration enforcement, sanctuary, cooperation with federal agents",
,,Criminal Justice Reform,"incarceration, prison, bail, sentencing, reentry, probation, mass incarceration, cash bail, wrongful conviction, plea deal, parole",—,"sentencing reform, bail reform, reentry services",
,,Domestic & Sexual Violence,"domestic violence, restraining order, sexual assault, survivors, DV, abuser, stalking, protective order, safe house, women's shelter",DV reports,"domestic violence prevention, protective order, victim services",
,,Traffic & Pedestrian Safety,"hit and run, speeding, dangerous intersection, pedestrian, crosswalk, almost got hit, road rage, drunk driving, reckless driving, bike lane","traffic complaints, speeding, signal requests","traffic calming, Vision Zero, pedestrian safety",
,,Juvenile Justice,"youth crime, juvenile detention, school-to-prison, troubled teen, youth violence, kids committing crimes, juvenile record, youth incarceration",—,"juvenile justice reform, diversion program, youth rehabilitation",
Education & Workforce,▦,K-12 Education,"school funding, teachers, class size, school choice, charter, public school, CMS, school board, failing schools, magnet school, curriculum",school facility complaints,"education funding formula, per-pupil expenditure",Education; Labor and Employment
,,Teacher Compensation,"teacher pay, teacher shortage, leaving education, burned out, teachers deserve more, teacher salary, can't live on teacher pay, educator exodus",—,"teacher salary, educator recruitment, compensation study",
,,Higher Education,"student loans, tuition, community college, HBCU, degree, college costs, financial aid, Pell Grant, student debt, university",—,"tuition assistance, student debt, higher education access",
,,Workforce Development,"job training, skills gap, apprenticeship, unemployment, career, trade school, upskilling, reskilling, jobs program, hire local",job training inquiries,"workforce development, job training, apprenticeship program",
,,Youth Programs,"after school, summer program, youth center, recreation, teens, nothing for kids to do, community center, boys and girls club, mentoring",recreation program complaints,"youth services, after-school program, recreation funding",
,,School Safety,"school shooting, school resource officer, lockdown, bullying, school threat, active shooter drill, metal detectors, cyberbullying, school fight",—,"school safety, threat assessment, school resource officer",
Infrastructure & Transit,⬡,Road & Bridge Conditions,"pothole, road conditions, bridge unsafe, highway, road falling apart, construction, road work, pavement, crumbling infrastructure","pothole, road repair, road debris","highway maintenance, road improvement, infrastructure fund",Transportation and Public Works
,,Public Transit,"bus late, light rail, transit cuts, commute, no service, bus doesn't come, train delayed, transit funding, CATS, bus route cancelled","transit complaints, bus stop","public transit funding, transit authority, bus rapid transit",
,,Water & Sewer,"water quality, lead pipes, boil advisory, sewage, flooding, brown water, water bill, sewer backup, water main break, pipe burst","water main break, sewer backup, water quality","water infrastructure, lead service line, sewer modernization",
,,Broadband & Digital Access,"internet access, no wifi, broadband, digital divide, rural internet, slow internet, no service, can't get connected, fiber optic",—,"broadband expansion, digital equity, internet access",
,,Energy & Utilities,"power outage, electric bill, utility costs, solar, grid, Duke Energy, electricity expensive, heat wave, no AC, energy assistance","power outage, utility complaints","energy assistance, utility regulation, renewable energy",
,,Sidewalks & Pedestrian Infra,"sidewalk broken, wheelchair access, ADA, walkability, no sidewalk, can't walk here, accessibility, curb ramp, bike path","sidewalk repair, ADA complaint","pedestrian infrastructure, ADA compliance, sidewalk improvement",
Environment & Climate,◉,Air Quality,"air pollution, smog, emissions, asthma, breathing, can't breathe, smoke, industrial pollution, exhaust, factory smell","air quality complaints, odor","air quality standard, emissions reduction",Environmental Protection; Energy; Water Resources
,,Water Quality,"contaminated water, PFAS, runoff, drinking water, polluted, forever chemicals, water testing, toxic, chemical spill, creek pollution",water contamination reports,"water quality monitoring, PFAS regulation, clean water",
,,Waste & Recycling,"landfill, recycling, trash, composting, waste, dumping, illegal dump, trash everywhere, recycling program, garbage collection","trash, recycling, illegal dumping","solid waste management, recycling program",
,,Climate Resilience,"flooding, hurricane, extreme heat, climate change, resilience, heat dome, wildfire smoke, storm damage, climate emergency, sea level","flood reports, storm damage","climate adaptation, flood mitigation, resilience planning",
,,Green Space & Parks,"parks, green space, urban tree, community garden, trail, greenway, park maintenance, playground, dog park, nature preserve","park maintenance, tree removal","parks funding, urban forestry, greenway",
,,Environmental Justice,"environmental racism, toxic, polluter, fence-line community, cancer alley, disproportionate impact, sacrifice zone, pollution in my neighborhood",—,"environmental justice, cumulative impact, disproportionate burden",
Democracy & Governance,⬢,Voting Rights,"voter suppression, voter ID, registration, polling place, ballot, can't vote, voting access, early voting, mail-in ballot, voter turnout, gerrymandered",—,"voting rights, election access, voter registration",Government Operations and Politics; Civil Rights
,,Redistricting,"gerrymandering, district lines, redistricting, map, rigged districts, unfair map, political map, census, representation",—,"redistricting commission, electoral district, census",
,,Government Transparency,"transparency, open records, FOIA, accountability, corrupt, where's the money going, no accountability, backroom deal, hidden agenda",FOIA requests,"public records, government transparency, open meetings",
,,Campaign Finance,"dark money, PAC, donors, campaign spending, corporate money, bought and paid for, lobbyist, special interest, Citizens United",—,"campaign finance, disclosure requirement, contribution limit",
,,Civil Rights,"discrimination, equality, civil rights, DEI, affirmative action, racism, LGBTQ rights, religious freedom, protected class, hate crime",—,"civil rights protection, anti-discrimination, equal protection",
Economic Development,◆,Cost of Living,"cost of living, prices, inflation, groceries, everything expensive, can't afford to live here, paycheck doesn't stretch, bills piling up, gas prices",—,"consumer protection, price gouging, cost-of-living adjustment",Economics and Public Finance; Taxation; Commerce
,,Small Business,"small business, starting a business, regulations, permits, shop local, business closing, storefront, entrepreneurship, Main Street, mom and pop",business license complaints,"small business assistance, licensing reform, economic development",
,,Tax Policy,"property tax, taxes too high, tax break, corporate tax, tax hike, assessment, property value, tax relief, school tax, county tax",tax assessment complaints,"tax reform, property tax relief, tax credit",
,,Minimum Wage & Labor,"minimum wage, living wage, can't survive on, wage theft, tips, $7.25, need a raise, workers rights, union, labor shortage, overtime",wage theft complaints,"minimum wage increase, wage theft prevention, labor standard",
,,Rural & Regional Development,"rural, small town, nothing here, no jobs, no services, left behind, forgotten, dying town, rural hospital closing, brain drain",—,"rural development, economic opportunity, broadband rural",
Online Behavior,🌐,Child Safety & Youth Usage,"kids online, children social media, screen time kids, COPPA, age verification, child predators online, kids on TikTok, parental controls, youth mental health social media, Kids Online Safety Act, KOSA, minors online, child exploitation, grooming online, underage accounts, digital age of consent, kid influencers, protect kids online, children data privacy, teen social media ban, kids iPad, child phone addiction, Surgeon General social media",—,"age verification requirement, child online protection, minor data collection, parental consent mechanism, youth digital wellness, child safety by design, duty of care minor, age-appropriate design code, child impact assessment",Science, Technology, Communications
,,Content Moderation & Censorship,"content moderation, banned account, shadowban, deplatformed, free speech online, Section 230, hate speech policy, misinformation removal, fact check, appeal suspended, community guidelines, trust and safety, content policy, takedown, overmoderation, undermoderation, censorship big tech, got banned for, removed my post, platform bias, viewpoint discrimination, content review, appeals process, community notes",—,"platform liability, content removal obligation, transparency reporting, editorial discretion, lawful but awful, intermediary liability, safe harbor provision, good faith moderation, notice and takedown",
,,Algorithmic Influence & Recommendation Systems,"algorithm bias, recommended content, filter bubble, echo chamber, radicalization pipeline, rabbit hole, algorithmic accountability, dopamine loop, engagement farming, rage bait, algorithm transparency, black box algorithm, recommendation engine, FYP manipulation, why is this on my feed, algorithm pushed, autoplay, suggested content, trending manipulation, amplification, algorithmic curation, personalization creepy",—,"algorithmic accountability, recommendation transparency, algorithm audit, automated decision system, algorithmic impact assessment, user agency, chronological feed option, algorithmic amplification",
,,Online Harassment & Abuse,"cyberbullying, doxxing, swatting, online harassment, hate raid, trolling, brigading, death threats online, revenge porn, nonconsensual intimate images, pile on, targeted harassment, block evasion, report abuse, toxic community, online stalking, mass reporting, coordinated harassment, sextortion, image-based abuse, NCII, cyber abuse, restraining order online",—,"cyber harassment statute, nonconsensual pornography, digital abuse protection, online stalking, cyberstalking, intimate image removal, platform duty to act, cyber civil rights",
,,Digital Addiction & Screen Time,"phone addiction, doomscrolling, screen time, digital detox, infinite scroll, notification overload, dopamine hit, social media break, time well spent, dark patterns, addictive design, digital wellness, brain rot, chronically online, touch grass, screen time report, always on my phone, can't stop scrolling, attention span, digital minimalism, phone free, no phone challenge",—,"addictive design feature, dark pattern prohibition, digital wellness, compulsive usage, attention manipulation, deceptive design, manipulative interface, screen time disclosure",
,,Misinformation & Manipulation,"deepfake, disinformation, fake news, bot accounts, astroturfing, propaganda, election misinformation, AI generated content, synthetic media, coordinated inauthentic behavior, troll farm, media literacy, fact check, information warfare, cheap fakes, AI fake, is this real, manipulated media, foreign interference, state-sponsored, influence operation, prebunking, labeled misleading",—,"deepfake disclosure, synthetic media labeling, election integrity, foreign influence operation, bot disclosure requirement, AI-generated content labeling, computational propaganda, platform transparency report",
,,Digital Identity & Anonymity,"anonymous accounts, real name policy, burner account, catfishing, identity verification, pseudonymous, right to anonymity, digital identity, sock puppet, impersonation, verified accounts, blue check, bot detection, fake profile, anon account, throwaway account, digital ID, online identity, KYC social media, identity fraud online",—,"digital identity verification, anonymous speech protection, identity authentication, bot labeling, pseudonymous right, online impersonation, digital credential, identity proofing",
,,Platform Governance & Accountability,"big tech regulation, tech antitrust, platform accountability, tech hearing, congressional testimony tech, digital markets act, DSA, platform monopoly, tech lobbying, self-regulation tech, oversight board, transparency report, terms of service change, break up big tech, tech regulation, FTC tech, EU digital, platform power, tech oligopoly, app store rules, interoperability",—,"platform accountability act, digital market regulation, tech antitrust, transparency mandate, interoperability requirement, platform competition, digital services regulation, algorithmic audit requirement, platform governance framework",
,,Online Radicalization & Extremism,"online radicalization, extremist content, alt-pipeline, red pill, incel forums, domestic terrorism online, recruitment online, extremist recruitment, deradicalization, hate groups online, stochastic terrorism, lone wolf, manifesto posted, radicalized online, pipeline to extremism, forum radicalization, went down the rabbit hole, echo chamber extremism",—,"domestic terrorism prevention, online radicalization, extremist content removal, terrorist content regulation, deradicalization program, online recruitment prevention, platform referral program",
,,Digital Accessibility & Inclusion,"digital divide, internet access, web accessibility, ADA compliance web, alt text, assistive technology, broadband equity, digital literacy, inclusive design, screen reader, WCAG, caption requirements, no internet, can't afford wifi, rural broadband, digital equity, accessibility standards, tech for disabled, low income internet, affordable connectivity","broadband service complaint, internet service complaint, ADA complaint","digital equity act, broadband deployment, web accessibility standard, universal service, affordable connectivity program, digital inclusion, assistive technology funding, accessible design mandate",
